urlImagem,imageAntes,imageDepois,urlTema
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img02.jpg,145061,69099,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img03.jpg,257529,77453,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img01.jpg,114292,38397,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img04.jpg,253504,165658,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img05.jpg,148501,81588,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img06.jpg,173344,122878,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img07.jpg,205050,211492,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/diag1.jpg,49137,40257,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img08.jpg,265252,258583,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img09.jpg,39624,36182,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img10.jpg,354417,166391,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img11.jpg,173987,112554,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img12.jpg,148580,104375,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img13.jpg,45342,14659,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img14.jpg,203007,172225,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img15.jpg,117632,99103,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img16.jpg,32016,24895,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img17.jpg,103413,59272,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img18.jpg,120012,112017,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img19.jpg,102134,54465,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img21.jpg,22542,18566,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img20.jpg,23907,18963,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img22.jpg,203027,167809,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img23.jpg,171495,90832,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
https://stecine.azureedge.net/repositorio/introducao_a_quimica/img/img24.jpg,195618,155395,https://stecine.azureedge.net/repositorio/introducao_a_quimica/index.html
